video,OO Ruby Object Orientation Video Review
topic,Final Projects
lab,Music Library CLI
video,Video Review: Music Library CLI
lab,Tic-Tac-Toe with AI
lab,Student Scraper
project,CLI Data Gem Project
video,CLI Data Gem Walkthrough
video,CLI Data Gem Walkthrough: Creating a CLI Scraper Gem
video,Common Anti-Patterns in CLI Data Gem
video,Student Example 1: Refactoring CLI Gem
video,Student Example 2: Refactoring CLI Gem
unit,
topic,Topic Introduction
read,What is SQL
topic,Getting Started
read,SQL Intro and Installation
read,SQL Database Basics
read,SQL Databases and Text Editors
read,SQL Data Types
read,"SQL Inserting, Updating, and Selecting"
read,Basic SQL Queries
read,SQL Aggregate Functions
lab,SQL Aggregate Functions Lab
lab,SQL Bear Organizer Lab
topic,Table Relations
read,Edgar Codd and Table Relations
read,Table Relations
read,SQL JOINS
read,SQL Complex Joins
read,SQL Join Tables
read,Grouping and Sorting Data
video,SQL Joins Review Lectures
lab,SQL Crowdfunding Lab
lab,SQL Library Lab
unit,
topic,ORMs
read,Why an ORM is Useful
lab,Pokemon Scraper Lab
read,Mapping Ruby Classes to Database Tables
lab,Mapping Classes to Tables Lab
read,Mapping Database Tables to Ruby Objects
lab,Mapping Database Rows to Objects Lab
read,Updating Records in an ORM
lab,Updating Records in an ORM Lab
read,Preventing Record Duplication
lab,ORMs Lab: Bringing It All Together
lab,Dynamic ORMs
lab,Dynamic ORMs with Inheritance
lab,Dynamic ORM Lab
video,Video Review: ORMs and SQL Joins
video,Video Review: Building a Metaprogrammed Abstract ORM
video,Video Review: Codealong- Building a Room Scraper and ORM
topic,ActiveRecord
read,ActiveRecord Mechanics
lab,Translating from ORM to ActiveRecord
lab,Intro to Rake
read,Mechanics of Migrations
lab,Writing Our Own Migrations
lab,ActiveRecord CRUD Lab
lab,Migrations and Active Record Lab
lab,Advanced Finding Lab (TV Show)
topic,Associations
lab,ActiveRecord Associations
lab,ActiveRecord Associations Lab
lab,ActiveRecord Associations Lab II
video,ActiveRecord Associations Video Review
video,ActiveRecord Associations Video Review II
video,Video Review: Aliasing ActiveRecord Associations
video,Video Review: Blog CLI with ActiveRecord and Associations
unit,
topic,Rack and the Internet
read,How the Internet Works
read,Increasing Layers of Abstraction
lab,Inspecting the Web with Rack
lab,Dynamic Web Apps with Rack
lab,Rack Responses Lab
read,The HTTP Request
lab,Rack Routes and GET Params Lab
read,Dynamic URL Routes
read,HTTP Status Codes
lab,Dynamic URLs and Status Codes Lab
video,"Video Review: How The Web Works, Pt 1"
video,"Video Review: How the Web Works, Pt 2"
unit,
topic,Sinatra Basics
read,What is Sinatra?
read,Sinatra from Scratch
read,Sinatra Basics
lab,Using the Shotgun Development Server
lab,"Sinatra ""Hello World"" Lab"
read,Sinatra Routes
lab,Sinatra Basic Routes Lab
topic,MVC and Forms
read,Intro to MVC
lab,Sinatra MVC File Structure
lab,Sinatra Views
lab,Sinatra Basic Views Lab
read,Using ERB
lab,Sinatra Views Lab II
video,Video Review: Forms
topic,Forms
lab,Intro to Capybara Tests
lab,Dynamic Routes
lab,Dynamic Routes Lab
lab,HTML Forms and Params
lab,Passing Data Between Views and Controllers
lab,Basic Sinatra Forms Lab
read,Layouts and Yield
lab,Integrating Models for a Full MVC
lab,Sinatra MVC Lab
lab,Sinatra Basic Forms Lab
read,Sinatra Nested Forms
lab,Sinatra Nested Forms Lab: Pirates!
video,Lab Review-- Sinatra Nested Forms Lab: Pirates
lab,Sinatra Nested Forms Lab: Superheros!
topic,Sessions
read,Sessions and Cookies
read,Mechanics of Sessions
lab,Sinatra Sessions Lab
lab,Sinatra Sessions Codealong
topic,ActiveRecord
lab,ActiveRecord Setup in Sinatra
read,ActiveRecord in Sinatra
lab,Sinatra ActiveRecord CRUD
lab,User Authentication in Sinatra
lab,Sinatra Sessions Lab- User Logins
lab,Securing Passwords in Sinatra
lab,Secure Password Lab
video,Video Review: Authentication
read,Sinatra RESTful Routes
lab,Sinatra RESTful Routes Lab
lab,Using Tux in Sinatra with ActiveRecord
lab,ActiveRecord Associations in Sinatra
read,ActiveRecord Associations: Join Tables
read,Sinatra Multiple Controllers
lab,Sinatra Complex Forms Associations
lab,Sinatra Playlister
lab,Sinatra NYC
topic,ERB Outside of Sinatra
video,"Video Review: Building a Site Generator, Part 1"
video,"Video Review: Building a Site Generator, Part 2"
topic,Sinatra Project Mode
lab,Fwitter
topic,Rails
topic,Introduction to Rails
read,Intro to Rails
read,Rails Application Basics
read,Rails MVC
read,Rails Static Request
lab,Rails Hello World
video,Video Review: Intro to Rails
topic,Rails Models Basics
read,ActiveRecord Models and Rails
lab,ActiveRecord Models and Rails Lab
topic,Intro to REST
read,Intro to Rest
lab,RESTful Action Index Lab
lab,Rails Dynamic Request
lab,Rails Dynamic Request Lab
topic,Intro to ActionView
lab,Rails URL Helpers
lab,Rails URL Helpers Lab
lab,Rails form_tag
lab,Rails form_tag lab
topic,CRUD with Rails
lab,Create Action
lab,Create Action Lab
lab,"Index, Show, New, Create Lab"
lab,Edit/Update Action
lab,form_for on Edit
lab,Strong Params Basics
read,Rails Forms Overview
lab,form_for lab
lab,Rails Generators
lab,CRU Rails Lab
lab,Resource Generator/ Routes
lab,Rails Blog Scaffold
topic,Validations and Forms
read,ActiveRecord Validations
lab,ActiveRecord Validations Lab
read,Validations in Controller Actions
lab,Validations in Controller Actions Lab
read,Validations with form_tag
lab,Validations with form_tag lab
read,Validations with form_for
read,Delete forms
read,Rails Testing
lab,CRUD with Validations
lab,Rails Blog Associations and Validations
topic,Rails Review: TodoMVC 1
video,TodoMVC 1: Assets and Managing Lists
topic,Associations and Rails
read,Activerecord Associations Review
lab,Join The Fun Rails Lab
read,ActiveRecord Lifecycle Methods
lab,Displaying Associations Data
lab,Displaying Associations Data Lab
read,Forms and Basic Association
lab,Forms and Basic Associations Lab
read,Basic Nested Forms
lab,Basic Nested Forms Lab
read,Displaying Has Many Through
lab,Displaying Has Many Through Lab
read,Has Many Through in Forms
lab,Has Many Through in Forms Lab
video,Video Review: Has Many Through in Forms Lab
video,Video Review: Deep Dive into Nested Forms
lab,Rails Blog: Complex Nested Forms Lab
topic,Layouts and Partials
read,Layouts And Templates in Rails
lab,Layouts And Templates in Rails Lab
lab,Simple Partials
lab,Simple Partials Lab
lab,Partial with Locals
lab,Partial with Locals Lab
lab,Flatiron Kitchen
read,Rendering Collections
lab,Rendering Collections Lab
lab,Programmer Partials Lab
video,Video Review: Partials and Collections
topic,Refactoring with Helpers and Model Methods
read,Refresher On MVC
read,Refactoring Views With Helpers
lab,Refactoring Views With Helpers Lab
read,Model Class Methods
lab,Model Class Methods Lab
video,Video Review: Refactoring Views into Partials and Helpers
topic,Routes and Resources
read,Routing and Nested Resources
